ID,Video,Illusion,Aesthetic_Score
1764450472318,output_with_sound_B_1_2,0,1
1764450472318,output_with_sound_B_1_3,1,2
1764450472318,output_with_sound_B_1_4,0,1
1764465863962,output_with_sound_A_1_1,1,5
1764465863962,output_with_sound_A_1_2,1,4
1764465863962,output_with_sound_A_1_3,0,2
1764465863962,output_with_sound_A_1_4,0,2
1764465863962,output_with_sound_B_1_1,1,4
1764465863962,output_with_sound_B_1_2,0,2
1764465863962,output_with_sound_B_1_3,1,3
1764465863962,output_with_sound_B_1_4,1,3
1764477246372,output_with_sound_A_1_1,1,2
1764477246372,output_with_sound_A_1_2,1,3
1764477246372,output_with_sound_A_1_3,0,1
1764477246372,output_with_sound_A_1_4,0,1
1764477246372,output_with_sound_B_1_1,1,3
1764477246372,output_with_sound_B_1_2,0,2
1764477246372,output_with_sound_B_1_3,1,2
1764477246372,output_with_sound_B_1_4,0,1
1764458666711,output_with_sound_A_1_1,1,5
1764458666711,output_with_sound_A_1_2,1,5
1764458666711,output_with_sound_A_1_3,1,3
1764458666711,output_with_sound_A_1_4,0,1
1764458666711,output_with_sound_B_1_1,1,5
1764458666711,output_with_sound_B_1_2,0,1
1764458666711,output_with_sound_B_1_3,1,5
1764458666711,output_with_sound_B_1_4,0,1
1764470875288,output_with_sound_A_1_1,1,3
1764470875288,output_with_sound_A_1_2,1,4
1764470875288,output_with_sound_A_1_3,0,3
1764470875288,output_with_sound_A_1_4,1,2
1764470875288,output_with_sound_B_1_1,1,4
1764470875288,output_with_sound_B_1_2,0,2
1764470875288,output_with_sound_B_1_3,0,1
1764470875288,output_with_sound_B_1_4,0,1
1764468329152,output_with_sound_A_1_1,0,2
1764468329152,output_with_sound_A_1_2,0,2
1764468329152,output_with_sound_A_1_3,0,2
1764468329152,output_with_sound_A_1_4,0,2
1764468329152,output_with_sound_B_1_1,1,5
1764468329152,output_with_sound_B_1_2,0,5
1764468329152,output_with_sound_B_1_3,1,5
1764468329152,output_with_sound_B_1_4,0,1
1764468566108,output_with_sound_A_1_1,1,1
1764468566108,output_with_sound_A_1_2,1,1
1764468566108,output_with_sound_A_1_3,0,1
1764468566108,output_with_sound_A_1_4,0,1
1764468566108,output_with_sound_B_1_1,1,1
1764468566108,output_with_sound_B_1_2,0,4
1764468566108,output_with_sound_B_1_3,1,1
1764468566108,output_with_sound_B_1_4,0,1
1764472836092,output_with_sound_A_1_1,1,5
1764472836092,output_with_sound_A_1_2,1,5
1764472836092,output_with_sound_A_1_3,0,5
1764472836092,output_with_sound_A_1_4,1,5
1764472836092,output_with_sound_B_1_1,1,5
1764472836092,output_with_sound_B_1_2,0,5
1764472836092,output_with_sound_B_1_3,1,5
1764472836092,output_with_sound_B_1_4,1,5
1764448599872,output_with_sound_A_1_1,1,4
1764448599872,output_with_sound_A_1_2,1,2
1764448599872,output_with_sound_A_1_3,0,1
1764448599872,output_with_sound_A_1_4,1,2
1764448599872,output_with_sound_B_1_1,1,2
1764448599872,output_with_sound_B_1_2,1,3
1764448599872,output_with_sound_B_1_3,1,3
1764448599872,output_with_sound_B_1_4,1,4
1764469789106,output_with_sound_A_1_1,1,2
1764469789106,output_with_sound_A_1_2,0,1
1764469789106,output_with_sound_A_1_3,0,2
1764469789106,output_with_sound_A_1_4,0,1
1764469789106,output_with_sound_B_1_1,1,5
1764469789106,output_with_sound_B_1_2,1,4
1764469789106,output_with_sound_B_1_3,1,4
1764469789106,output_with_sound_B_1_4,1,4
1764451587315,output_with_sound_A_1_1,1,4
1764451587315,output_with_sound_A_1_2,1,4
1764451587315,output_with_sound_A_1_3,0,2
1764451587315,output_with_sound_A_1_4,1,4
1764451587315,output_with_sound_B_1_1,1,4
1764451587315,output_with_sound_B_1_2,0,4
1764451587315,output_with_sound_B_1_3,1,3
1764451587315,output_with_sound_B_1_4,1,5
1764448660303,output_with_sound_A_1_1,1,1
1764448660303,output_with_sound_A_1_2,1,1
1764448660303,output_with_sound_A_1_3,0,1
1764448660303,output_with_sound_A_1_4,0,1
1764448660303,output_with_sound_B_1_1,1,1
1764448660303,output_with_sound_B_1_2,0,1
1764448660303,output_with_sound_B_1_3,1,1
1764448660303,output_with_sound_B_1_4,0,1
1764467493637,output_with_sound_A_1_1,1,2
1764467493637,output_with_sound_A_1_2,1,3
1764467493637,output_with_sound_A_1_3,0,2
1764467493637,output_with_sound_A_1_4,0,4
1764467493637,output_with_sound_B_1_1,1,5
1764467493637,output_with_sound_B_1_2,0,4
1764467493637,output_with_sound_B_1_3,1,5
1764467493637,output_with_sound_B_1_4,1,3
1764467999877,output_with_sound_A_1_1,0,1
1764467999877,output_with_sound_A_1_2,0,1
1764467999877,output_with_sound_A_1_3,0,1
1764467999877,output_with_sound_A_1_4,0,1
1764467999877,output_with_sound_B_1_1,0,1
1764467999877,output_with_sound_B_1_2,0,2
1764467999877,output_with_sound_B_1_3,0,1
1764467999877,output_with_sound_B_1_4,0,1
1764472785336,output_with_sound_A_1_1,1,1
1764472785336,output_with_sound_A_1_2,1,1
1764472785336,output_with_sound_A_1_3,0,1
1764472785336,output_with_sound_A_1_4,0,1
1764472785336,output_with_sound_B_1_1,1,1
1764472785336,output_with_sound_B_1_2,0,1
1764472785336,output_with_sound_B_1_3,1,1
1764472785336,output_with_sound_B_1_4,1,1
1764451481768,output_with_sound_A_1_1,1,5
1764451481768,output_with_sound_A_1_2,1,5
1764451481768,output_with_sound_A_1_3,1,5
1764451481768,output_with_sound_A_1_4,1,5
1764451481768,output_with_sound_B_1_1,1,5
1764451481768,output_with_sound_B_1_2,1,4
1764451481768,output_with_sound_B_1_3,1,5
1764451481768,output_with_sound_B_1_4,1,5
1764461980230,output_with_sound_A_1_1,1,6
1764461980230,output_with_sound_A_1_2,1,7
1764461980230,output_with_sound_A_1_3,1,5
1764461980230,output_with_sound_A_1_4,0,5
1764461980230,output_with_sound_B_1_1,1,6
1764461980230,output_with_sound_B_1_2,1,6
1764461980230,output_with_sound_B_1_3,1,7
1764461980230,output_with_sound_B_1_4,1,7
1764450875808,output_with_sound_A_1_1,1,1
1764450875808,output_with_sound_A_1_2,1,1
1764450875808,output_with_sound_A_1_3,1,2
1764450875808,output_with_sound_A_1_4,1,1
1764450875808,output_with_sound_B_1_1,1,2
1764450875808,output_with_sound_B_1_2,1,1
1764450875808,output_with_sound_B_1_3,1,1
1764450875808,output_with_sound_B_1_4,1,1
1764466450186,output_with_sound_A_1_1,0,1
1764466450186,output_with_sound_A_1_2,0,6
1764466450186,output_with_sound_A_1_3,0,2
1764466450186,output_with_sound_A_1_4,0,4
1764466450186,output_with_sound_B_1_1,1,7
1764466450186,output_with_sound_B_1_2,0,6
1764466450186,output_with_sound_B_1_3,1,7
1764466450186,output_with_sound_B_1_4,0,5
1764465594177,output_with_sound_A_1_1,1,6
1764465594177,output_with_sound_A_1_2,1,3
1764465594177,output_with_sound_A_1_3,0,1
1764465594177,output_with_sound_A_1_4,0,1
1764465594177,output_with_sound_B_1_1,1,6
1764465594177,output_with_sound_B_1_2,1,3
1764465594177,output_with_sound_B_1_3,1,5
1764465594177,output_with_sound_B_1_4,1,1
1764457053972,output_with_sound_A_1_1,1,5
1764457053972,output_with_sound_A_1_2,1,4
1764457053972,output_with_sound_A_1_3,0,1
1764457053972,output_with_sound_A_1_4,1,2
1764457053972,output_with_sound_B_1_1,1,3
1764457053972,output_with_sound_B_1_2,0,2
1764457053972,output_with_sound_B_1_3,1,5
1764457053972,output_with_sound_B_1_4,1,4
1764472017935,output_with_sound_A_1_1,1,4
1764472017935,output_with_sound_A_1_2,0,3
1764472017935,output_with_sound_A_1_3,0,3
1764472017935,output_with_sound_A_1_4,0,4
1764472017935,output_with_sound_B_1_1,1,3
1764472017935,output_with_sound_B_1_2,0,2
1764472017935,output_with_sound_B_1_3,1,3
1764472017935,output_with_sound_B_1_4,0,2
1764476653691,output_with_sound_A_1_1,1,3
1764476653691,output_with_sound_A_1_2,1,3
1764476653691,output_with_sound_A_1_3,0,2
1764476653691,output_with_sound_A_1_4,0,1
1764476653691,output_with_sound_B_1_1,1,6
1764476653691,output_with_sound_B_1_2,0,1
1764476653691,output_with_sound_B_1_3,1,5
1764476653691,output_with_sound_B_1_4,1,3
1764463377136,output_with_sound_A_1_1,1,3
1764463377136,output_with_sound_A_1_2,0,1
1764463377136,output_with_sound_A_1_3,1,2
1764463377136,output_with_sound_A_1_4,1,1
1764463377136,output_with_sound_B_1_1,1,3
1764463377136,output_with_sound_B_1_2,0,1
1764463377136,output_with_sound_B_1_3,1,1
1764463377136,output_with_sound_B_1_4,1,1
1764452263431,output_with_sound_A_1_1,1,2
1764452263431,output_with_sound_A_1_2,1,1
1764452263431,output_with_sound_A_1_3,0,1
1764452263431,output_with_sound_A_1_4,0,1
1764452263431,output_with_sound_B_1_1,1,1
1764452263431,output_with_sound_B_1_2,0,1
1764452263431,output_with_sound_B_1_3,1,1
1764452263431,output_with_sound_B_1_4,0,1
1764463574616,output_with_sound_A_1_1,1,4
1764463574616,output_with_sound_A_1_2,1,4
1764463574616,output_with_sound_A_1_3,1,3
1764463574616,output_with_sound_A_1_4,1,5
1764463574616,output_with_sound_B_1_1,1,6
1764463574616,output_with_sound_B_1_2,1,5
1764463574616,output_with_sound_B_1_3,1,7
1764463574616,output_with_sound_B_1_4,1,4
1764464835785,output_with_sound_A_1_1,1,5
1764464835785,output_with_sound_A_1_2,1,5
1764464835785,output_with_sound_A_1_3,0,1
1764464835785,output_with_sound_A_1_4,1,2
1764464835785,output_with_sound_B_1_1,1,5
1764464835785,output_with_sound_B_1_2,1,2
1764464835785,output_with_sound_B_1_3,1,6
1764464835785,output_with_sound_B_1_4,1,2
1764451477603,output_with_sound_A_1_1,1,3
1764451477603,output_with_sound_A_1_2,0,1
1764451477603,output_with_sound_A_1_3,0,3
1764451477603,output_with_sound_A_1_4,1,2
1764451477603,output_with_sound_B_1_1,1,5
1764451477603,output_with_sound_B_1_2,0,1
1764451477603,output_with_sound_B_1_3,1,5
1764451477603,output_with_sound_B_1_4,1,3
1764469379790,output_with_sound_A_1_1,1,5
1764469379790,output_with_sound_A_1_2,1,1
1764469379790,output_with_sound_A_1_3,1,3
1764469379790,output_with_sound_A_1_4,1,5
1764469379790,output_with_sound_B_1_1,1,3
1764469379790,output_with_sound_B_1_2,1,4
1764469379790,output_with_sound_B_1_3,1,3
1764469379790,output_with_sound_B_1_4,1,5
1764469020586,output_with_sound_A_1_1,1,2
1764469020586,output_with_sound_A_1_2,1,3
1764469020586,output_with_sound_A_1_3,0,2
1764469020586,output_with_sound_A_1_4,1,7
1764469020586,output_with_sound_B_1_1,1,6
1764469020586,output_with_sound_B_1_2,0,1
1764469020586,output_with_sound_B_1_3,1,6
1764469020586,output_with_sound_B_1_4,1,6
1764455125811,output_with_sound_A_1_1,1,3
1764455125811,output_with_sound_A_1_2,1,3
1764455125811,output_with_sound_A_1_3,0,2
1764455125811,output_with_sound_A_1_4,0,2
1764455125811,output_with_sound_B_1_1,1,3
1764455125811,output_with_sound_B_1_2,0,2
1764455125811,output_with_sound_B_1_3,1,3
1764455125811,output_with_sound_B_1_4,0,2
1764448864224,output_with_sound_A_1_1,1,4
1764448864224,output_with_sound_A_1_2,1,2
1764448864224,output_with_sound_A_1_3,0,1
1764448864224,output_with_sound_A_1_4,0,2
1764448864224,output_with_sound_B_1_1,1,6
1764448864224,output_with_sound_B_1_2,0,2
1764448864224,output_with_sound_B_1_3,1,6
1764448864224,output_with_sound_B_1_4,0,1
1764467591652,output_with_sound_A_1_1,0,1
1764467591652,output_with_sound_A_1_2,0,1
1764467591652,output_with_sound_A_1_3,0,1
1764467591652,output_with_sound_A_1_4,0,1
1764467591652,output_with_sound_B_1_1,1,2
1764467591652,output_with_sound_B_1_2,0,1
1764467591652,output_with_sound_B_1_3,1,2
1764467591652,output_with_sound_B_1_4,0,1
1764460547563,output_with_sound_A_1_1,1,5
1764460547563,output_with_sound_A_1_2,1,6
1764460547563,output_with_sound_A_1_3,0,3
1764460547563,output_with_sound_A_1_4,0,1
1764460547563,output_with_sound_B_1_1,1,6
1764460547563,output_with_sound_B_1_2,0,1
1764460547563,output_with_sound_B_1_3,1,5
1764460547563,output_with_sound_B_1_4,1,1
1764460029030,output_with_sound_A_1_1,0,3
1764460029030,output_with_sound_A_1_2,0,3
1764460029030,output_with_sound_A_1_3,0,2
1764460029030,output_with_sound_A_1_4,1,5
1764460029030,output_with_sound_B_1_1,1,5
1764460029030,output_with_sound_B_1_2,0,3
1764460029030,output_with_sound_B_1_3,1,5
1764460029030,output_with_sound_B_1_4,0,4
1764458109887,output_with_sound_A_1_1,1,5
1764458109887,output_with_sound_A_1_2,1,5
1764458109887,output_with_sound_A_1_3,1,6
1764458109887,output_with_sound_A_1_4,1,3
1764458109887,output_with_sound_B_1_1,1,6
1764458109887,output_with_sound_B_1_2,1,5
1764458109887,output_with_sound_B_1_3,1,6
1764458109887,output_with_sound_B_1_4,1,3
1764461410535,output_with_sound_A_1_1,1,3
1764461410535,output_with_sound_A_1_2,1,2
1764461410535,output_with_sound_A_1_3,0,4
1764461410535,output_with_sound_A_1_4,1,4
1764461410535,output_with_sound_B_1_1,1,2
1764461410535,output_with_sound_B_1_2,1,3
1764461410535,output_with_sound_B_1_3,1,3
1764461410535,output_with_sound_B_1_4,1,3
1764463793255,output_with_sound_A_1_1,0,2
1764463793255,output_with_sound_A_1_2,1,6
1764463793255,output_with_sound_A_1_3,0,7
1764463793255,output_with_sound_A_1_4,0,6
1764463793255,output_with_sound_B_1_1,1,2
1764463793255,output_with_sound_B_1_2,0,5
1764463793255,output_with_sound_B_1_3,1,7
1764463793255,output_with_sound_B_1_4,0,6
1764454792049,output_with_sound_A_1_1,0,2
1764454792049,output_with_sound_A_1_2,1,3
1764454792049,output_with_sound_A_1_3,0,2
1764454792049,output_with_sound_A_1_4,1,5
